sku,rating,good points,bad points
B12ACB0162,10,"Lekker warm ook bij min 8, wind en waterdicht. Ook praktisch op de fiets. Is van boven goed af te sluiten, waardoor warmte in de jas blijft. Veel zakken.","Het naar links en rechts kunnen kijken op de fiets is niet helemaal optimaal, maar te doen."
B12ACB0162,8,"Lekker warm en behaaglijk, voldoende diepe binnenzakken, grote capuchon.",Graag aan de binnenkant nog een zak met rits en niet aan de buitenkant.
B12ACB0162,8,Zowel man als vrouw,Te duur
B12ACB0162,9,Waterdicht,Nog niet ontdekt
B12ACB0162,8,Goede kwaliteit warme jas.,Ritsluiting dit product onwaardig. Invoer uitermate lastig.
B12ACB0162,9,Warm en waterdicht,De rits is lastig in te steken
B12ACB0162,8,Lekkere warme jas,"Jas is iets te lang, ik moet op mijn jas gaan zitten tijdens het fietsen."
B12ACB0162,10,Heerlijk warm,De rits is wat lastig
B12ACB0162,9,De jas heeft een heerlijke hoge kraag en veel zakken,"De jas heeft een dubbele rits, kan heel handig zijn maar soms ook irritant omdat hij niet altijd in 1 keer dicht wil."
B12ACB0162,6,waterdicht en winddicht,Ritssluiting
B12ACB0162,9,"Warme jas, goede pasvorm en een hoge kraag/capuchon","Onderste knoop klikt los bij bukken, komt er spanning op"
B12ACB0161,7,"materiaal en vorm, hoewel wat wijd, goede capuchon ook","wat te wijd dus, en de rits is beslist te ielig, heb steeds moeite met de rits insteek."
B12ACB0161,9,Pasvorm en warmte,Insteekzakken wat laag en te ver naar voor
B12ACB0161,8,Heerlijke jas. Heel warm en comfortabel. Iets groter besteld zodat ik er lekkere truien onder aankan. Absoluut een aanrader!,De positie van de zakken is nét niet ideaal. Maar dat is eigenlijk het enige probleem waar ik zelf tegenaan loop
B12ACB0161,8,Het aantal zakken en de mouwmanchetten,Voor mij hadden de mouwen 5cm korter gemogen en de insteek zakken iets hoger.
B12ACB0161,8,warmte en waterdichtheid,helaas liet de klittenband binnen een paar dagen al los. dus moesten we weer retour eindhoven.
B12AA90062,10,Sterke jas. Perfect.,Nee
B12ACB0162,10,Wind en waterdicht. Lekker lang. De kraag in combinatie met de capuchon is heerlijk met de koude wind.,Het is niet gemakkelijk om handschoenen aan te doen (ivm de stretchrand aan de binnenvoering).
B12ACB0162,9,"Veel zakken, sluit goed af, hoge kraag. Waterdicht en warm","Misschien de lage zakken waar je makkelijk je handen in kan doen, afwerken met een soort fleece, dan blijven ze warm...."
B12ACB0162,7,Goed warme jas,Geen fatsoenlijke binnenzakken en de  rits is een opgave....
B12ACB0162,7,"Heel warme jas, met veel goede details","Rits werkt goed, maar het insteken is vaak lastig. Capuchon niet handig op de fiets, slecht zicht naar links en rechts."
B12ACB0162,10,Alles op rits na,Rits
ADBCF10019,8,Dunne doch warme jas met mooie pasvorm.,Product valt wel groot voor een (M).
ADBCF10019,10,Fantastisch afgewerkte jas.  Capuchon zit perfect en kan goed worden ingesteld.  Koord in de boord onderaan de jas werkt fijn.  Zeer goed ademend vermogen.  Warmer dan ik had verwacht.  Winddicht.  Waterdichtheid nog niet kunnen testen.,Niets!
ADBCF10019,8,Degelijk Onopvallend Zit comfortabel,Geen verstelbare capuchon
ADBCF10019,10,Stof is aangenaam om te dragen.,"De rits is voor mij precies verkeerd om, links steekt in rechts waar het lipje zit."
ADBCF10019,10,"Alles. Hij ziet goed, is warm,zit confortable.",Geen.
ADBCF10019,9,Comfortabele pasvorm,Rits van zakken ietwat stroef
B12ACB0161,10,Grote capuchon  Lekker warm  Goede dubbele rits met overlap,Reflector strips
B12ACB0161,9,mooie warme en comfortabel jas.  Fijne pasvorm en perfect afgewerkt,ik zou niets kunnen verzinnen
B12ACB0161,10,Perfect dat het te groot is. Ik ga naar ijsland en wil er extra truien onder kunnen dragen. Daarom deze mannen ipv vrouwen jas gekocht. En expres een paar maten te groot zodat mijn onderlagen er onder passen als ik glacier ga lopen.,Nee zeer tevreden. Misschien wat duur maar als ik er 10 jaar mee kan soen is dat eigenlijk niet duur meer.
B12ACB0161,10,"Heerlijke warme jas die ruim zit en van alles voorzien is. Heel compleet. Met het touwtje onderin kan je de jas nog verder strak trekken en komt er minder winder binnen. Zeer tevreden, ook voor de prijs",Geen
B12ACB0161,8,Nvt,Binnenzakken te dun  Graag wat steviger
B12ACB0161,9,"Draagt prettig, comfortabel en het voelt beschut.",Doordat de ritssluiting wegvalt onder een flap grijp je nog wel eens mis bij het zoeken naar de ritssluiting. Mogelijk een kwestie van wennen maar nier direct ergonomisch.
B12ACB0161,9,Waterproof en winddicht,Daar ben ik nog niet achter.
B12ACB0161,8,"Heel mooie afwerking en een afneembare capuchon (veel jassen hebben die niet meer, helaas) die je lekker strak kunt aantrekken voor optimale beschutting tegen wind en regen.",Nee
B12ACB0161,9,Warm,Ritssluiting
B12ACB0161,10,Prima kwaliteit,nee
B12ACB0161,9,"Waterdicht, 2-way zipper, handige zakken, warm",Zou zelf rits voor binnenzak graag onder de windflap hebben gewild. Dan hoef je de jas niet open te doen.
B12ACB0161,9,Lekker warm en wind- en waterdicht.,Viel iets kleiner dan gewend
ACBGD90008,9,"Zit goed, is redelijk winddicht en warm en waarschijnlijk ook goed waterdicht, al heb ik dat nog niet grondig getest...",Nog niet ontdekt...
ACBGD90008,9,Hoe hij voelt Kleur,...
B12AE90200,9,Super licht en water dicht,Zakken aan de zijkanten …
B12AA90041,9,Goed waterdicht en winddicht. Zit lekker tijdens het fietsen,"Rits is af en toe moeilijk dicht te krijgen, doordat het een dubbele rits is."
B12AA90041,8,Goed ontwerp,De rits in de borstzak hoger laten beginnen en een tweede borstzak
B12AA90041,9,"Draagt lekker, lekker warm door donzen  binnenjack.",Nog geen...
B12AA90041,9,"Pasvorm, wind en waterdicht,warm genoeg.",De kraag schuurt een beetje in je nek.
B12AA90041,8,"De kleur, warm en binnenjas is uit te ritsen",Binnenzakken in de binnenjas
B12AA90041,9,"Buitenjas heeft voldoende bergvakken(jaszakken),Jas voelt erg licht aan tijdens dragen.",1 punt: De binnenjas kan zeker enkele steekzakken gebruiken aan de binnenkant.
B12AA90041,8,Wind en water dichtheid.,"De hals iets wijder,  schuurt iets met mijn kin."
B12AA90041,8,Wat je ziet krijg je ook.,Het dicht doen van de eist wel nauwkeurigheid.
B12AA90041,9,"Lekker licht, comfortabel, niet zweterig, vuil is er gemakkelijk af te vegen.",Aantal bevestigingspunten van de 'binnenjas' aan de buitenjas aan de bovenzijde. Als je niet oplet steek je je arm richting armgat tussen binnen- en buitenjas.
B12AA90041,9,Makkelijk te hanteren jack. Goede pasvorm en stijlvol casual. Water- en winddicht. Warm met binnenjack. Goede keus en positionering binnen- en buitenzakken. Fijn dat capuchon er makkelijk op en af kan. Prima kwaliteitsjack voor deze prijs.,"Rits in""slotje"" om dicht te ritsen hapert soms. Kan wat soepeler en robuuster worden gemaakt. Nu te aandachtig ""mikken"". Borstzak binnen en buiten kan iets dieper om meer ruimte te hebben voor dingen in op te bergen."
B12AA90041,9,X,X
B12ABB0221,8,Licht en warm,Eventueel een borstzakje
B12ABB0221,10,- Ideaal als warme tweede laag bij toerskiën. - Laag gewicht. - Compact in de rugzak. - Hoge ritssluiting. - Ruime en warme capuchon.,- Niet waterdicht. - Kwetsbaar.
